Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-08-03,10.06
30-08-03,12.78
29-08-03,27.43
28-08-03,21.63
27-08-03,27.22
26-08-03,18.99
25-08-03,15.15
24-08-03,11.04
23-08-03,18.69
22-08-03,29.85
21-08-03,
20-08-03,17.93
19-08-03,22.71
18-08-03,20.74
17-08-03,14.26
16-08-03,12.36
15-08-03,15.32
14-08-03,29.17
13-08-03,39.44
12-08-03,19.93
11-08-03,11.40
10-08-03,13.99
09-08-03,17.89
08-08-03,18.17
07-08-03,18.99
06-08-03,18.44
05-08-03,18.06
04-08-03,30.54
03-08-03,26.04
02-08-03,22.74
01-08-03,26.88

