Datum Zeit,Annaberg-Buchholz O3
,µg/m³
01-02-15 00:00,31
31-01-15 23:00,24
31-01-15 22:00,18
31-01-15 21:00,40
31-01-15 20:00,57
31-01-15 19:00,52
31-01-15 18:00,52
31-01-15 17:00,53
31-01-15 16:00,52
31-01-15 15:00,53
31-01-15 14:00,51
31-01-15 13:00,50
31-01-15 12:00,47
31-01-15 11:00,49
31-01-15 10:00,54
31-01-15 09:00,53
31-01-15 08:00,31
31-01-15 07:00,52
31-01-15 06:00,62
31-01-15 05:00,61
31-01-15 04:00,64
31-01-15 03:00,67
31-01-15 02:00,70
31-01-15 01:00,65
31-01-15 00:00,62
30-01-15 23:00,48
30-01-15 22:00,62
30-01-15 21:00,39
30-01-15 20:00,55
30-01-15 19:00,65
30-01-15 18:00,63
30-01-15 17:00,69
30-01-15 16:00,73
30-01-15 15:00,75
30-01-15 14:00,73
30-01-15 13:00,62
30-01-15 12:00,58
30-01-15 11:00,50
30-01-15 10:00,20
30-01-15 09:00,27
30-01-15 08:00,28
30-01-15 07:00,41
30-01-15 06:00,59
30-01-15 05:00,73
30-01-15 04:00,78
30-01-15 03:00,80
30-01-15 02:00,78
30-01-15 01:00,78
30-01-15 00:00,74
29-01-15 23:00,71
29-01-15 22:00,66
29-01-15 21:00,59
29-01-15 20:00,57
29-01-15 19:00,56
29-01-15 18:00,57
29-01-15 17:00,58
29-01-15 16:00,56
29-01-15 15:00,58
29-01-15 14:00,64
29-01-15 13:00,69
29-01-15 12:00,
29-01-15 11:00,68
29-01-15 10:00,65
29-01-15 09:00,61
29-01-15 08:00,60
29-01-15 07:00,65
29-01-15 06:00,64
29-01-15 05:00,64
29-01-15 04:00,75
29-01-15 03:00,73
29-01-15 02:00,60
29-01-15 01:00,62
29-01-15 00:00,63
28-01-15 23:00,62
28-01-15 22:00,63
28-01-15 21:00,65
28-01-15 20:00,60
28-01-15 19:00,59
28-01-15 18:00,53
28-01-15 17:00,54
28-01-15 16:00,55
28-01-15 15:00,58
28-01-15 14:00,52
28-01-15 13:00,50
28-01-15 12:00,50
28-01-15 11:00,52
28-01-15 10:00,48
28-01-15 09:00,39
28-01-15 08:00,14
28-01-15 07:00,34
28-01-15 06:00,61
28-01-15 05:00,68
28-01-15 04:00,71
28-01-15 03:00,70
28-01-15 02:00,73
28-01-15 01:00,71
28-01-15 00:00,69
27-01-15 23:00,68
27-01-15 22:00,67
27-01-15 21:00,66
27-01-15 20:00,65
27-01-15 19:00,69
27-01-15 18:00,67
27-01-15 17:00,66
27-01-15 16:00,68
27-01-15 15:00,68
27-01-15 14:00,68
27-01-15 13:00,69
27-01-15 12:00,69
27-01-15 11:00,71
27-01-15 10:00,67
