Datum Zeit,Dresden-Winckelmannstr. O3
,µg/m³
01-02-15 00:00,49
31-01-15 23:00,50
31-01-15 22:00,50
31-01-15 21:00,46
31-01-15 20:00,40
31-01-15 19:00,41
31-01-15 18:00,43
31-01-15 17:00,42
31-01-15 16:00,41
31-01-15 15:00,35
31-01-15 14:00,36
31-01-15 13:00,41
31-01-15 12:00,50
31-01-15 11:00,54
31-01-15 10:00,54
31-01-15 09:00,49
31-01-15 08:00,44
31-01-15 07:00,45
31-01-15 06:00,47
31-01-15 05:00,54
31-01-15 04:00,59
31-01-15 03:00,56
31-01-15 02:00,58
31-01-15 01:00,60
31-01-15 00:00,59
30-01-15 23:00,54
30-01-15 22:00,50
30-01-15 21:00,50
30-01-15 20:00,49
30-01-15 19:00,50
30-01-15 18:00,52
30-01-15 17:00,58
30-01-15 16:00,63
30-01-15 15:00,63
30-01-15 14:00,60
30-01-15 13:00,48
30-01-15 12:00,45
30-01-15 11:00,24
30-01-15 10:00,20
30-01-15 09:00,21
30-01-15 08:00,22
30-01-15 07:00,37
30-01-15 06:00,45
30-01-15 05:00,49
30-01-15 04:00,52
30-01-15 03:00,63
30-01-15 02:00,64
30-01-15 01:00,65
30-01-15 00:00,60
29-01-15 23:00,53
29-01-15 22:00,54
29-01-15 21:00,53
29-01-15 20:00,47
29-01-15 19:00,46
29-01-15 18:00,43
29-01-15 17:00,48
29-01-15 16:00,52
29-01-15 15:00,62
29-01-15 14:00,68
29-01-15 13:00,67
29-01-15 12:00,67
29-01-15 11:00,64
29-01-15 10:00,57
29-01-15 09:00,55
29-01-15 08:00,51
29-01-15 07:00,59
29-01-15 06:00,61
29-01-15 05:00,64
29-01-15 04:00,60
29-01-15 03:00,60
29-01-15 02:00,57
29-01-15 01:00,59
29-01-15 00:00,61
28-01-15 23:00,57
28-01-15 22:00,56
28-01-15 21:00,53
28-01-15 20:00,48
28-01-15 19:00,45
28-01-15 18:00,37
28-01-15 17:00,37
28-01-15 16:00,46
28-01-15 15:00,52
28-01-15 14:00,50
28-01-15 13:00,50
28-01-15 12:00,51
28-01-15 11:00,50
28-01-15 10:00,46
28-01-15 09:00,31
28-01-15 08:00,35
28-01-15 07:00,50
28-01-15 06:00,55
28-01-15 05:00,57
28-01-15 04:00,59
28-01-15 03:00,55
28-01-15 02:00,52
28-01-15 01:00,51
28-01-15 00:00,47
27-01-15 23:00,48
27-01-15 22:00,46
27-01-15 21:00,35
27-01-15 20:00,31
27-01-15 19:00,33
27-01-15 18:00,38
27-01-15 17:00,49
27-01-15 16:00,53
27-01-15 15:00,55
27-01-15 14:00,55
27-01-15 13:00,53
27-01-15 12:00,52
27-01-15 11:00,51
27-01-15 10:00,48
27-01-15 09:00,48
27-01-15 08:00,52
27-01-15 07:00,58
27-01-15 06:00,59
27-01-15 05:00,48
27-01-15 04:00,43
27-01-15 03:00,38
27-01-15 02:00,35
27-01-15 01:00,40
27-01-15 00:00,45
26-01-15 23:00,52
26-01-15 22:00,50
26-01-15 21:00,51
26-01-15 20:00,44
26-01-15 19:00,30
26-01-15 18:00,31
26-01-15 17:00,43
26-01-15 16:00,48
26-01-15 15:00,53
26-01-15 14:00,58
26-01-15 13:00,56
26-01-15 12:00,42
26-01-15 11:00,15
26-01-15 10:00,3
26-01-15 09:00,2
26-01-15 08:00,4
26-01-15 07:00,1
26-01-15 06:00,3
26-01-15 05:00,10
26-01-15 04:00,14
26-01-15 03:00,27
26-01-15 02:00,26
26-01-15 01:00,22
26-01-15 00:00,34
25-01-15 23:00,36
25-01-15 22:00,42
25-01-15 21:00,40
25-01-15 20:00,38
25-01-15 19:00,43
25-01-15 18:00,50
25-01-15 17:00,51
25-01-15 16:00,54
25-01-15 15:00,48
25-01-15 14:00,50
25-01-15 13:00,48
25-01-15 12:00,47
25-01-15 11:00,48
25-01-15 10:00,52
25-01-15 09:00,56
25-01-15 08:00,50
25-01-15 07:00,51
25-01-15 06:00,43
25-01-15 05:00,30
25-01-15 04:00,18
25-01-15 03:00,15
25-01-15 02:00,21
25-01-15 01:00,27
25-01-15 00:00,29
24-01-15 23:00,26
24-01-15 22:00,26
24-01-15 21:00,29
24-01-15 20:00,36
24-01-15 19:00,45
24-01-15 18:00,29
24-01-15 17:00,18
24-01-15 16:00,23
24-01-15 15:00,28
24-01-15 14:00,30
24-01-15 13:00,35
24-01-15 12:00,37
24-01-15 11:00,39
24-01-15 10:00,37
24-01-15 09:00,36
24-01-15 08:00,35
24-01-15 07:00,35
24-01-15 06:00,34
24-01-15 05:00,35
24-01-15 04:00,33
24-01-15 03:00,34
24-01-15 02:00,34
24-01-15 01:00,31
24-01-15 00:00,26
23-01-15 23:00,22
23-01-15 22:00,22
23-01-15 21:00,18
23-01-15 20:00,13
23-01-15 19:00,12
23-01-15 18:00,10
23-01-15 17:00,7
23-01-15 16:00,6
23-01-15 15:00,5
23-01-15 14:00,7
23-01-15 13:00,8
23-01-15 12:00,7
23-01-15 11:00,8
23-01-15 10:00,7
23-01-15 09:00,5
23-01-15 08:00,2
23-01-15 07:00,3
23-01-15 06:00,5
23-01-15 05:00,6
23-01-15 04:00,2
23-01-15 03:00,1
23-01-15 02:00,1
23-01-15 01:00,1
23-01-15 00:00,1
22-01-15 23:00,2
22-01-15 22:00,2
22-01-15 21:00,2
22-01-15 20:00,2
22-01-15 19:00,2
22-01-15 18:00,1
22-01-15 17:00,2
22-01-15 16:00,2
22-01-15 15:00,4
22-01-15 14:00,4
22-01-15 13:00,5
22-01-15 12:00,4
22-01-15 11:00,3
22-01-15 10:00,2
22-01-15 09:00,2
22-01-15 08:00,2
22-01-15 07:00,5
22-01-15 06:00,6
22-01-15 05:00,10
22-01-15 04:00,13
22-01-15 03:00,14
22-01-15 02:00,17
22-01-15 01:00,17
22-01-15 00:00,18
21-01-15 23:00,17
21-01-15 22:00,17
21-01-15 21:00,16
21-01-15 20:00,14
21-01-15 19:00,14
21-01-15 18:00,11
21-01-15 17:00,19
21-01-15 16:00,25
21-01-15 15:00,31
21-01-15 14:00,31
21-01-15 13:00,32
21-01-15 12:00,22
21-01-15 11:00,21
21-01-15 10:00,20
21-01-15 09:00,16
21-01-15 08:00,27
21-01-15 07:00,26
21-01-15 06:00,19
21-01-15 05:00,5
21-01-15 04:00,2
21-01-15 03:00,2
21-01-15 02:00,7
21-01-15 01:00,6
21-01-15 00:00,1
20-01-15 23:00,1
20-01-15 22:00,2
20-01-15 21:00,3
20-01-15 20:00,2
20-01-15 19:00,2
20-01-15 18:00,3
20-01-15 17:00,7
20-01-15 16:00,11
20-01-15 15:00,15
20-01-15 14:00,20
20-01-15 13:00,26
20-01-15 12:00,35
20-01-15 11:00,39
20-01-15 10:00,23
20-01-15 09:00,14
20-01-15 08:00,9
20-01-15 07:00,18
20-01-15 06:00,24
20-01-15 05:00,25
20-01-15 04:00,25
20-01-15 03:00,26
20-01-15 02:00,21
20-01-15 01:00,22
20-01-15 00:00,19
19-01-15 23:00,18
19-01-15 22:00,18
19-01-15 21:00,22
19-01-15 20:00,23
19-01-15 19:00,22
19-01-15 18:00,21
19-01-15 17:00,22
19-01-15 16:00,24
19-01-15 15:00,26
19-01-15 14:00,10
19-01-15 13:00,4
19-01-15 12:00,6
19-01-15 11:00,4
19-01-15 10:00,2
19-01-15 09:00,1
19-01-15 08:00,1
19-01-15 07:00,1
19-01-15 06:00,2
19-01-15 05:00,4
19-01-15 04:00,4
19-01-15 03:00,5
19-01-15 02:00,5
19-01-15 01:00,5
19-01-15 00:00,6
18-01-15 23:00,8
18-01-15 22:00,3
18-01-15 21:00,2
18-01-15 20:00,2
18-01-15 19:00,2
18-01-15 18:00,15
18-01-15 17:00,36
18-01-15 16:00,39
18-01-15 15:00,41
18-01-15 14:00,43
18-01-15 13:00,40
18-01-15 12:00,26
18-01-15 11:00,15
18-01-15 10:00,10
18-01-15 09:00,5
18-01-15 08:00,2
18-01-15 07:00,2
18-01-15 06:00,6
18-01-15 05:00,12
18-01-15 04:00,10
18-01-15 03:00,7
18-01-15 02:00,2
18-01-15 01:00,2
18-01-15 00:00,2
17-01-15 23:00,2
17-01-15 22:00,5
17-01-15 21:00,7
17-01-15 20:00,7
17-01-15 19:00,14
17-01-15 18:00,17
17-01-15 17:00,27
17-01-15 16:00,32
17-01-15 15:00,37
17-01-15 14:00,43
17-01-15 13:00,43
17-01-15 12:00,52
17-01-15 11:00,55
17-01-15 10:00,50
17-01-15 09:00,52
17-01-15 08:00,49
17-01-15 07:00,24
17-01-15 06:00,8
17-01-15 05:00,2
17-01-15 04:00,12
17-01-15 03:00,14
17-01-15 02:00,23
17-01-15 01:00,22
17-01-15 00:00,20
16-01-15 23:00,22
16-01-15 22:00,27
16-01-15 21:00,20
16-01-15 20:00,15
16-01-15 19:00,13
16-01-15 18:00,13
16-01-15 17:00,10
16-01-15 16:00,9
16-01-15 15:00,16
16-01-15 14:00,18
16-01-15 13:00,18
16-01-15 12:00,19
16-01-15 11:00,17
16-01-15 10:00,11
16-01-15 09:00,3
16-01-15 08:00,2
16-01-15 07:00,3
16-01-15 06:00,24
16-01-15 05:00,33
16-01-15 04:00,43
16-01-15 03:00,45
16-01-15 02:00,51
16-01-15 01:00,57
16-01-15 00:00,60
15-01-15 23:00,61
15-01-15 22:00,59
15-01-15 21:00,48
15-01-15 20:00,28
15-01-15 19:00,29
15-01-15 18:00,20
15-01-15 17:00,23
15-01-15 16:00,24
15-01-15 15:00,33
15-01-15 14:00,42
15-01-15 13:00,42
15-01-15 12:00,40
15-01-15 11:00,32
15-01-15 10:00,34
15-01-15 09:00,22
15-01-15 08:00,19
15-01-15 07:00,35
15-01-15 06:00,39
15-01-15 05:00,48
15-01-15 04:00,55
15-01-15 03:00,56
15-01-15 02:00,60
15-01-15 01:00,62
15-01-15 00:00,62
14-01-15 23:00,63
14-01-15 22:00,68
14-01-15 21:00,64
14-01-15 20:00,50
14-01-15 19:00,43
14-01-15 18:00,58
14-01-15 17:00,58
14-01-15 16:00,62
14-01-15 15:00,65
14-01-15 14:00,65
14-01-15 13:00,63
14-01-15 12:00,66
14-01-15 11:00,60
14-01-15 10:00,64
14-01-15 09:00,61
14-01-15 08:00,10
14-01-15 07:00,50
14-01-15 06:00,54
14-01-15 05:00,51
14-01-15 04:00,47
14-01-15 03:00,54
14-01-15 02:00,58
14-01-15 01:00,59
14-01-15 00:00,60
13-01-15 23:00,61
13-01-15 22:00,57
13-01-15 21:00,58
13-01-15 20:00,62
13-01-15 19:00,62
13-01-15 18:00,57
13-01-15 17:00,57
13-01-15 16:00,56
13-01-15 15:00,66
13-01-15 14:00,68
13-01-15 13:00,69
13-01-15 12:00,67
13-01-15 11:00,67
13-01-15 10:00,66
13-01-15 09:00,65
13-01-15 08:00,64
13-01-15 07:00,69
13-01-15 06:00,68
13-01-15 05:00,64
13-01-15 04:00,66
13-01-15 03:00,67
13-01-15 02:00,66
13-01-15 01:00,66
13-01-15 00:00,67
12-01-15 23:00,68
12-01-15 22:00,66
12-01-15 21:00,65
12-01-15 20:00,65
12-01-15 19:00,62
12-01-15 18:00,61
12-01-15 17:00,59
12-01-15 16:00,59
12-01-15 15:00,59
12-01-15 14:00,59
12-01-15 13:00,57
12-01-15 12:00,55
12-01-15 11:00,53
12-01-15 10:00,52
12-01-15 09:00,52
12-01-15 08:00,55
12-01-15 07:00,60
12-01-15 06:00,65
12-01-15 05:00,66
12-01-15 04:00,64
12-01-15 03:00,62
12-01-15 02:00,61
12-01-15 01:00,60
12-01-15 00:00,63
11-01-15 23:00,63
11-01-15 22:00,65
11-01-15 21:00,66
11-01-15 20:00,64
11-01-15 19:00,63
11-01-15 18:00,64
11-01-15 17:00,66
11-01-15 16:00,66
11-01-15 15:00,66
11-01-15 14:00,68
11-01-15 13:00,68
11-01-15 12:00,68
11-01-15 11:00,67
11-01-15 10:00,66
11-01-15 09:00,65
11-01-15 08:00,66
11-01-15 07:00,67
11-01-15 06:00,68
11-01-15 05:00,70
11-01-15 04:00,71
11-01-15 03:00,72
11-01-15 02:00,71
11-01-15 01:00,72
11-01-15 00:00,71
10-01-15 23:00,69
10-01-15 22:00,75
10-01-15 21:00,76
10-01-15 20:00,67
10-01-15 19:00,52
10-01-15 18:00,52
10-01-15 17:00,55
10-01-15 16:00,54
10-01-15 15:00,53
10-01-15 14:00,52
10-01-15 13:00,49
10-01-15 12:00,47
10-01-15 11:00,47
10-01-15 10:00,44
10-01-15 09:00,45
10-01-15 08:00,44
10-01-15 07:00,44
10-01-15 06:00,44
10-01-15 05:00,47
10-01-15 04:00,52
10-01-15 03:00,57
10-01-15 02:00,58
10-01-15 01:00,60
10-01-15 00:00,62
09-01-15 23:00,63
09-01-15 22:00,58
09-01-15 21:00,47
09-01-15 20:00,46
09-01-15 19:00,52
09-01-15 18:00,57
09-01-15 17:00,58
09-01-15 16:00,60
09-01-15 15:00,63
09-01-15 14:00,67
09-01-15 13:00,70
09-01-15 12:00,69
09-01-15 11:00,66
09-01-15 10:00,60
09-01-15 09:00,60
09-01-15 08:00,59
09-01-15 07:00,60
09-01-15 06:00,62
09-01-15 05:00,62
09-01-15 04:00,62
09-01-15 03:00,65
09-01-15 02:00,66
09-01-15 01:00,55
09-01-15 00:00,44
08-01-15 23:00,54
08-01-15 22:00,54
08-01-15 21:00,52
08-01-15 20:00,55
08-01-15 19:00,22
08-01-15 18:00,3
08-01-15 17:00,27
08-01-15 16:00,52
08-01-15 15:00,48
08-01-15 14:00,45
08-01-15 13:00,49
08-01-15 12:00,42
08-01-15 11:00,13
08-01-15 10:00,5
08-01-15 09:00,2
08-01-15 08:00,2
08-01-15 07:00,5
08-01-15 06:00,8
08-01-15 05:00,6
08-01-15 04:00,5
08-01-15 03:00,4
08-01-15 02:00,4
08-01-15 01:00,3
08-01-15 00:00,4
07-01-15 23:00,3
07-01-15 22:00,2
07-01-15 21:00,2
07-01-15 20:00,1
07-01-15 19:00,2
07-01-15 18:00,13
07-01-15 17:00,13
07-01-15 16:00,11
07-01-15 15:00,9
07-01-15 14:00,9
