Datum Zeit,Zinnwald NO2
,µg/m³
01-02-15 00:00,4
31-01-15 23:00,5
31-01-15 22:00,6
31-01-15 21:00,6
31-01-15 20:00,7
31-01-15 19:00,8
31-01-15 18:00,8
31-01-15 17:00,7
31-01-15 16:00,6
31-01-15 15:00,6
31-01-15 14:00,7
31-01-15 13:00,7
31-01-15 12:00,8
31-01-15 11:00,4
31-01-15 10:00,3
31-01-15 09:00,4
31-01-15 08:00,5
31-01-15 07:00,6
31-01-15 06:00,6
31-01-15 05:00,6
31-01-15 04:00,6
31-01-15 03:00,6
31-01-15 02:00,6
31-01-15 01:00,6
31-01-15 00:00,5
30-01-15 23:00,5
30-01-15 22:00,6
30-01-15 21:00,7
30-01-15 20:00,7
30-01-15 19:00,6
30-01-15 18:00,6
30-01-15 17:00,6
30-01-15 16:00,5
30-01-15 15:00,5
30-01-15 14:00,5
30-01-15 13:00,5
30-01-15 12:00,6
30-01-15 11:00,8
30-01-15 10:00,10
30-01-15 09:00,12
30-01-15 08:00,10
30-01-15 07:00,9
30-01-15 06:00,8
30-01-15 05:00,8
30-01-15 04:00,11
30-01-15 03:00,8
30-01-15 02:00,8
30-01-15 01:00,7
30-01-15 00:00,8
29-01-15 23:00,10
29-01-15 22:00,14
29-01-15 21:00,9
29-01-15 20:00,10
29-01-15 19:00,9
29-01-15 18:00,8
29-01-15 17:00,8
29-01-15 16:00,6
29-01-15 15:00,7
29-01-15 14:00,5
29-01-15 13:00,2
29-01-15 12:00,3
29-01-15 11:00,2
29-01-15 10:00,3
29-01-15 09:00,4
29-01-15 08:00,4
29-01-15 07:00,3
29-01-15 06:00,3
29-01-15 05:00,3
29-01-15 04:00,3
29-01-15 03:00,5
29-01-15 02:00,9
29-01-15 01:00,9
29-01-15 00:00,8
28-01-15 23:00,10
28-01-15 22:00,10
28-01-15 21:00,10
28-01-15 20:00,8
28-01-15 19:00,11
28-01-15 18:00,12
28-01-15 17:00,12
28-01-15 16:00,13
28-01-15 15:00,10
28-01-15 14:00,5
28-01-15 13:00,4
28-01-15 12:00,3
28-01-15 11:00,3
28-01-15 10:00,4
28-01-15 09:00,3
28-01-15 08:00,3
28-01-15 07:00,3
28-01-15 06:00,3
28-01-15 05:00,3
28-01-15 04:00,4
28-01-15 03:00,3
28-01-15 02:00,4
28-01-15 01:00,4
28-01-15 00:00,5
27-01-15 23:00,7
27-01-15 22:00,7
27-01-15 21:00,6
27-01-15 20:00,6
27-01-15 19:00,6
27-01-15 18:00,6
27-01-15 17:00,5
27-01-15 16:00,4
27-01-15 15:00,4
27-01-15 14:00,3
27-01-15 13:00,3
27-01-15 12:00,4
27-01-15 11:00,4
27-01-15 10:00,5
27-01-15 09:00,4
27-01-15 08:00,3
27-01-15 07:00,3
27-01-15 06:00,5
27-01-15 05:00,7
27-01-15 04:00,7
27-01-15 03:00,8
27-01-15 02:00,11
27-01-15 01:00,10
27-01-15 00:00,9
26-01-15 23:00,10
26-01-15 22:00,12
26-01-15 21:00,12
26-01-15 20:00,14
26-01-15 19:00,16
26-01-15 18:00,15
26-01-15 17:00,13
26-01-15 16:00,14
26-01-15 15:00,13
26-01-15 14:00,12
26-01-15 13:00,8
26-01-15 12:00,3
26-01-15 11:00,2
26-01-15 10:00,2
26-01-15 09:00,3
26-01-15 08:00,3
26-01-15 07:00,3
26-01-15 06:00,2
26-01-15 05:00,2
26-01-15 04:00,1
26-01-15 03:00,2
26-01-15 02:00,2
26-01-15 01:00,3
26-01-15 00:00,5
25-01-15 23:00,4
25-01-15 22:00,5
25-01-15 21:00,5
25-01-15 20:00,8
25-01-15 19:00,8
25-01-15 18:00,7
25-01-15 17:00,4
25-01-15 16:00,5
25-01-15 15:00,5
25-01-15 14:00,5
25-01-15 13:00,5
25-01-15 12:00,4
25-01-15 11:00,6
25-01-15 10:00,5
25-01-15 09:00,6
25-01-15 08:00,6
25-01-15 07:00,7
25-01-15 06:00,11
25-01-15 05:00,14
25-01-15 04:00,17
25-01-15 03:00,17
25-01-15 02:00,15
25-01-15 01:00,14
25-01-15 00:00,12
24-01-15 23:00,11
24-01-15 22:00,9
24-01-15 21:00,7
24-01-15 20:00,6
24-01-15 19:00,5
24-01-15 18:00,5
24-01-15 17:00,5
24-01-15 16:00,3
24-01-15 15:00,2
24-01-15 14:00,2
24-01-15 13:00,3
24-01-15 12:00,3
24-01-15 11:00,2
24-01-15 10:00,3
24-01-15 09:00,2
24-01-15 08:00,5
24-01-15 07:00,5
24-01-15 06:00,8
24-01-15 05:00,9
24-01-15 04:00,9
