Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-01-15,14.52
30-01-15,7.47
29-01-15,6.05
28-01-15,10.71
27-01-15,8.30
26-01-15,14.06
25-01-15,13.11
24-01-15,23.11
23-01-15,25.94
22-01-15,31.96
21-01-15,27.88
20-01-15,25.29
19-01-15,23.49
18-01-15,17.21
17-01-15,16.34
16-01-15,11.46
15-01-15,5.85
14-01-15,4.25
13-01-15,6.58
12-01-15,4.89
11-01-15,5.82
10-01-15,3.66
09-01-15,4.95
08-01-15,8.65
07-01-15,18.81
06-01-15,26.09
05-01-15,15.86
04-01-15,5.64
03-01-15,7.54
02-01-15,6.61
01-01-15,66.34

