Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-01-15,10.74
30-01-15,4.18
29-01-15,3.93
28-01-15,7.07
27-01-15,5.32
26-01-15,9.49
25-01-15,10.95
24-01-15,19.19
23-01-15,21.82
22-01-15,28.76
21-01-15,23.57
20-01-15,21.91
19-01-15,19.55
18-01-15,14.73
17-01-15,12.55
16-01-15,7.15
15-01-15,3.16
14-01-15,1.97
13-01-15,3.35
12-01-15,2.68
11-01-15,4.25
10-01-15,2.02
09-01-15,3.23
08-01-15,5.33
07-01-15,14.38
06-01-15,21.75
05-01-15,13.03
04-01-15,4.43
03-01-15,5.26
02-01-15,4.84
01-01-15,50.98

