Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-01-15,10.04
30-01-15,9.92
29-01-15,8.02
28-01-15,9.63
27-01-15,6.14
26-01-15,11.89
25-01-15,15.49
24-01-15,19.86
23-01-15,21.31
22-01-15,38.00
21-01-15,24.06
20-01-15,24.37
19-01-15,23.76
18-01-15,17.90
17-01-15,16.07
16-01-15,18.13
15-01-15,5.82
14-01-15,5.57
13-01-15,4.84
12-01-15,4.77
11-01-15,5.06
10-01-15,2.76
09-01-15,4.47
08-01-15,15.89
07-01-15,23.27
06-01-15,21.33
05-01-15,11.37
04-01-15,5.38
03-01-15,6.64
02-01-15,7.91
01-01-15,39.54

