Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-01-15,10.38
30-01-15,9.03
29-01-15,6.07
28-01-15,8.30
27-01-15,6.08
26-01-15,10.56
25-01-15,16.39
24-01-15,19.26
23-01-15,20.77
22-01-15,36.89
21-01-15,20.47
20-01-15,21.91
19-01-15,22.17
18-01-15,17.62
17-01-15,16.72
16-01-15,18.16
15-01-15,6.25
14-01-15,4.46
13-01-15,4.43
12-01-15,4.70
11-01-15,4.92
10-01-15,2.70
09-01-15,4.27
08-01-15,15.92
07-01-15,23.73
06-01-15,19.92
05-01-15,12.39
04-01-15,5.53
03-01-15,6.22
02-01-15,7.42
01-01-15,132.32

