Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-01-15,9.73
30-01-15,6.68
29-01-15,6.37
28-01-15,9.60
27-01-15,5.39
26-01-15,10.38
25-01-15,12.14
24-01-15,18.72
23-01-15,20.84
22-01-15,29.61
21-01-15,20.56
20-01-15,20.83
19-01-15,24.10
18-01-15,19.56
17-01-15,17.44
16-01-15,18.17
15-01-15,7.31
14-01-15,4.70
13-01-15,5.78
12-01-15,4.44
11-01-15,5.30
10-01-15,2.57
09-01-15,4.36
08-01-15,8.43
07-01-15,18.55
06-01-15,19.65
05-01-15,12.43
04-01-15,5.49
03-01-15,7.11
02-01-15,5.75
01-01-15,42.67

