Datum Zeit,Collmberg PM2.5
,µg/m³
31-01-15,8.08
30-01-15,3.49
29-01-15,3.80
28-01-15,6.10
27-01-15,4.06
26-01-15,4.14
25-01-15,3.87
24-01-15,16.57
23-01-15,8.90
22-01-15,9.59
21-01-15,17.67
20-01-15,12.88
19-01-15,17.87
18-01-15,13.62
17-01-15,11.95
16-01-15,9.93
15-01-15,3.31
14-01-15,1.69
13-01-15,2.93
12-01-15,2.69
11-01-15,4.40
10-01-15,1.53
09-01-15,2.82
08-01-15,4.77
07-01-15,12.39
06-01-15,17.18
05-01-15,9.31
04-01-15,4.29
03-01-15,4.50
02-01-15,4.77
01-01-15,9.75

