Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-05-12,12.15
30-05-12,7.05
29-05-12,8.56
28-05-12,9.41
27-05-12,12.53
26-05-12,12.63
25-05-12,9.78
24-05-12,10.79
23-05-12,11.15
22-05-12,13.56
21-05-12,13.68
20-05-12,10.91
19-05-12,8.85
18-05-12,5.90
17-05-12,6.13
16-05-12,4.62
15-05-12,6.85
14-05-12,5.82
13-05-12,4.58
12-05-12,9.03
11-05-12,7.57
10-05-12,5.69
09-05-12,6.82
08-05-12,9.72
07-05-12,9.02
06-05-12,8.76
05-05-12,7.95
04-05-12,7.81
03-05-12,11.01
02-05-12,21.01
01-05-12,41.29

