Datum Zeit,Glauchau PM2.5
,µg/m³
31-05-12,
30-05-12,
29-05-12,
28-05-12,
27-05-12,
26-05-12,
25-05-12,
24-05-12,
23-05-12,
22-05-12,
21-05-12,
20-05-12,
19-05-12,
18-05-12,
17-05-12,
16-05-12,
15-05-12,
14-05-12,
13-05-12,
12-05-12,
11-05-12,
10-05-12,
09-05-12,
08-05-12,
07-05-12,
06-05-12,
05-05-12,
04-05-12,
03-05-12,
02-05-12,
01-05-12,

