Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-05-12,19.41
30-05-12,11.73
29-05-12,13.66
28-05-12,13.69
27-05-12,14.88
26-05-12,11.01
25-05-12,8.96
24-05-12,11.73
23-05-12,12.90
22-05-12,15.00
21-05-12,15.82
20-05-12,10.42
19-05-12,10.03
18-05-12,8.07
17-05-12,6.46
16-05-12,7.43
15-05-12,11.60
14-05-12,9.16
13-05-12,4.88
12-05-12,6.39
11-05-12,11.12
10-05-12,8.98
09-05-12,10.74
08-05-12,11.90
07-05-12,13.06
06-05-12,4.83
05-05-12,12.74
04-05-12,12.72
03-05-12,15.94
02-05-12,28.67
01-05-12,33.79

