Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-05-12,16.68
30-05-12,11.22
29-05-12,12.55
28-05-12,13.30
27-05-12,15.15
26-05-12,12.96
25-05-12,11.19
24-05-12,13.92
23-05-12,16.41
22-05-12,15.85
21-05-12,16.49
20-05-12,10.93
19-05-12,10.54
18-05-12,8.72
17-05-12,7.23
16-05-12,8.32
15-05-12,12.17
14-05-12,10.69
13-05-12,5.43
12-05-12,8.66
11-05-12,14.03
10-05-12,11.65
09-05-12,13.02
08-05-12,13.29
07-05-12,13.80
06-05-12,7.97
05-05-12,16.85
04-05-12,11.53
03-05-12,16.35
02-05-12,22.91
01-05-12,29.50

