Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-05-12,13.43
30-05-12,7.83
29-05-12,9.24
28-05-12,9.85
27-05-12,9.38
26-05-12,7.47
25-05-12,7.00
24-05-12,9.31
23-05-12,12.64
22-05-12,13.73
21-05-12,13.87
20-05-12,9.99
19-05-12,8.82
18-05-12,6.98
17-05-12,5.92
16-05-12,5.19
15-05-12,7.53
14-05-12,6.17
13-05-12,3.61
12-05-12,4.92
11-05-12,7.06
10-05-12,6.13
09-05-12,6.85
08-05-12,7.78
07-05-12,10.79
06-05-12,5.77
05-05-12,14.50
04-05-12,7.24
03-05-12,13.35
02-05-12,18.96
01-05-12,22.19

