Datum Zeit,Collmberg PM2.5
,µg/m³
31-05-12,10.65
30-05-12,6.51
29-05-12,8.46
28-05-12,7.55
27-05-12,7.37
26-05-12,6.84
25-05-12,6.31
24-05-12,8.41
23-05-12,11.73
22-05-12,12.36
21-05-12,13.60
20-05-12,9.17
19-05-12,7.52
18-05-12,5.84
17-05-12,3.01
16-05-12,4.34
15-05-12,7.20
14-05-12,5.08
13-05-12,3.24
12-05-12,4.70
11-05-12,6.39
10-05-12,4.78
09-05-12,5.49
08-05-12,7.72
07-05-12,7.81
06-05-12,4.13
05-05-12,11.41
04-05-12,6.43
03-05-12,15.68
02-05-12,17.59
01-05-12,20.36

