Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-05-12,20.88
30-05-12,11.36
29-05-12,13.15
28-05-12,12.66
27-05-12,11.03
26-05-12,9.77
25-05-12,8.84
24-05-12,11.19
23-05-12,15.84
22-05-12,17.15
21-05-12,17.38
20-05-12,11.23
19-05-12,10.55
18-05-12,9.23
17-05-12,6.58
16-05-12,8.02
15-05-12,12.74
14-05-12,9.89
13-05-12,5.27
12-05-12,7.90
11-05-12,13.50
10-05-12,12.18
09-05-12,12.91
08-05-12,12.64
07-05-12,13.99
06-05-12,6.36
05-05-12,16.82
04-05-12,12.19
03-05-12,19.45
02-05-12,24.24
01-05-12,26.59

