Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-11-13,5.93
29-11-13,8.54
28-11-13,8.94
27-11-13,17.04
26-11-13,9.84
25-11-13,7.44
24-11-13,5.31
23-11-13,18.57
22-11-13,20.09
21-11-13,13.84
20-11-13,15.41
19-11-13,28.82
18-11-13,29.87
17-11-13,19.03
16-11-13,33.61
15-11-13,34.30
14-11-13,16.60
13-11-13,17.68
12-11-13,20.56
11-11-13,14.15
10-11-13,6.44
09-11-13,5.84
08-11-13,8.87
07-11-13,4.96
06-11-13,8.07
05-11-13,8.70
04-11-13,
03-11-13,3.90
02-11-13,12.51
01-11-13,25.62

