Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-11-13,5.38
29-11-13,7.00
28-11-13,10.47
27-11-13,18.91
26-11-13,10.10
25-11-13,6.61
24-11-13,6.33
23-11-13,10.52
22-11-13,9.32
21-11-13,8.81
20-11-13,8.10
19-11-13,19.74
18-11-13,19.18
17-11-13,21.51
16-11-13,29.62
15-11-13,25.45
14-11-13,15.09
13-11-13,10.15
12-11-13,15.68
11-11-13,9.45
10-11-13,4.21
09-11-13,3.41
08-11-13,4.67
07-11-13,2.28
06-11-13,4.95
05-11-13,5.16
04-11-13,2.49
03-11-13,2.64
02-11-13,8.38
01-11-13,16.44

