Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-11-13,4.36
29-11-13,5.79
28-11-13,6.17
27-11-13,14.65
26-11-13,8.85
25-11-13,7.52
24-11-13,4.79
23-11-13,11.51
22-11-13,11.25
21-11-13,10.02
20-11-13,5.60
19-11-13,19.08
18-11-13,20.32
17-11-13,21.10
16-11-13,19.35
15-11-13,26.13
14-11-13,16.24
13-11-13,18.44
12-11-13,18.84
11-11-13,8.73
10-11-13,4.45
09-11-13,6.58
08-11-13,8.66
07-11-13,2.78
06-11-13,5.76
05-11-13,6.27
04-11-13,3.57
03-11-13,2.84
02-11-13,5.43
01-11-13,15.70

