Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-11-13,7.90
29-11-13,10.37
28-11-13,12.76
27-11-13,21.81
26-11-13,14.84
25-11-13,11.58
24-11-13,8.28
23-11-13,12.87
22-11-13,10.69
21-11-13,11.10
20-11-13,9.18
19-11-13,24.15
18-11-13,25.57
17-11-13,27.56
16-11-13,37.34
15-11-13,32.21
14-11-13,19.73
13-11-13,15.03
12-11-13,18.26
11-11-13,12.58
10-11-13,6.36
09-11-13,6.11
08-11-13,7.22
07-11-13,4.49
06-11-13,7.92
05-11-13,8.62
04-11-13,4.28
03-11-13,4.09
02-11-13,10.50
01-11-13,19.61

