Datum Zeit,Borna PM10
,µg/m³
30-11-13,10
29-11-13,17
28-11-13,18
27-11-13,27
26-11-13,22
25-11-13,15
24-11-13,10
23-11-13,15
22-11-13,18
21-11-13,13
20-11-13,11
19-11-13,27
18-11-13,28
17-11-13,28
16-11-13,39
15-11-13,39
14-11-13,29
13-11-13,24
12-11-13,24
11-11-13,17
10-11-13,8
09-11-13,
08-11-13,
07-11-13,7
06-11-13,13
05-11-13,11
04-11-13,6
03-11-13,7
02-11-13,11
01-11-13,28

