Datum Zeit,Collmberg PM2.5
,µg/m³
30-04-14,13.56
29-04-14,13.52
28-04-14,13.02
27-04-14,13.79
26-04-14,19.83
25-04-14,16.38
24-04-14,12.19
23-04-14,11.71
22-04-14,8.31
21-04-14,12.35
20-04-14,16.07
19-04-14,20.62
18-04-14,
17-04-14,6.80
16-04-14,4.26
15-04-14,4.03
14-04-14,6.32
13-04-14,19.90
12-04-14,14.84
11-04-14,7.20
10-04-14,5.42
09-04-14,7.89
08-04-14,8.44
07-04-14,15.30
06-04-14,38.56
05-04-14,31.26
04-04-14,46.02
03-04-14,22.92
02-04-14,34.07
01-04-14,41.12

