Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-04-14,39.21
29-04-14,18.09
28-04-14,18.63
27-04-14,15.91
26-04-14,15.47
25-04-14,16.28
24-04-14,20.78
23-04-14,16.96
22-04-14,20.71
21-04-14,15.07
20-04-14,13.24
19-04-14,24.03
18-04-14,8.06
17-04-14,11.74
16-04-14,8.93
15-04-14,6.64
14-04-14,9.02
13-04-14,21.54
12-04-14,26.17
11-04-14,11.69
10-04-14,7.72
09-04-14,8.99
08-04-14,11.28
07-04-14,20.33
06-04-14,47.49
05-04-14,59.99
04-04-14,47.63
03-04-14,31.57
02-04-14,41.66
01-04-14,52.50

