Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-04-14,27.95
29-04-14,21.88
28-04-14,20.97
27-04-14,12.67
26-04-14,19.87
25-04-14,19.78
24-04-14,22.00
23-04-14,16.77
22-04-14,16.29
21-04-14,13.52
20-04-14,15.35
19-04-14,22.33
18-04-14,9.72
17-04-14,11.45
16-04-14,8.42
15-04-14,5.71
14-04-14,8.72
13-04-14,19.21
12-04-14,24.26
11-04-14,13.13
10-04-14,6.31
09-04-14,9.94
08-04-14,12.12
07-04-14,22.66
06-04-14,45.38
05-04-14,43.91
04-04-14,49.16
03-04-14,31.21
02-04-14,34.15
01-04-14,41.34

