Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-04-14,74.44
29-04-14,15.97
28-04-14,18.42
27-04-14,17.06
26-04-14,12.08
25-04-14,14.21
24-04-14,16.52
23-04-14,10.49
22-04-14,12.89
21-04-14,13.71
20-04-14,13.51
19-04-14,20.14
18-04-14,7.66
17-04-14,9.40
16-04-14,9.30
15-04-14,4.43
14-04-14,8.55
13-04-14,21.63
12-04-14,25.53
11-04-14,9.76
10-04-14,8.08
09-04-14,7.74
08-04-14,10.48
07-04-14,11.37
06-04-14,37.86
05-04-14,55.70
04-04-14,35.07
03-04-14,18.14
02-04-14,35.68
01-04-14,44.38

