Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-04-14,23.20
29-04-14,17.76
28-04-14,20.28
27-04-14,13.90
26-04-14,18.35
25-04-14,17.56
24-04-14,18.40
23-04-14,14.09
22-04-14,12.31
21-04-14,15.59
20-04-14,15.57
19-04-14,22.35
18-04-14,8.53
17-04-14,9.90
16-04-14,6.78
15-04-14,4.85
14-04-14,8.59
13-04-14,22.58
12-04-14,23.52
11-04-14,11.53
10-04-14,5.75
09-04-14,10.02
08-04-14,9.67
07-04-14,19.41
06-04-14,43.17
05-04-14,40.31
04-04-14,47.66
03-04-14,26.53
02-04-14,33.67
01-04-14,35.29

