Datum Zeit,Plauen-Sued PM10
,µg/m³
30-04-14,40
29-04-14,31
28-04-14,36
27-04-14,20
26-04-14,24
25-04-14,31
24-04-14,31
23-04-14,20
22-04-14,19
21-04-14,16
20-04-14,21
19-04-14,29
18-04-14,8
17-04-14,14
16-04-14,18
15-04-14,10
14-04-14,12
13-04-14,25
12-04-14,31
11-04-14,27
10-04-14,14
09-04-14,14
08-04-14,13
07-04-14,21
06-04-14,38
05-04-14,72
04-04-14,60
03-04-14,40
02-04-14,49
01-04-14,66

