Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-04-14,27.50
29-04-14,20.06
28-04-14,20.69
27-04-14,17.88
26-04-14,23.93
25-04-14,17.96
24-04-14,19.68
23-04-14,22.39
22-04-14,15.48
21-04-14,15.98
20-04-14,19.69
19-04-14,23.95
18-04-14,8.59
17-04-14,12.59
16-04-14,9.58
15-04-14,6.75
14-04-14,9.55
13-04-14,23.29
12-04-14,24.98
11-04-14,14.84
10-04-14,7.54
09-04-14,12.66
08-04-14,15.40
07-04-14,18.09
06-04-14,42.65
05-04-14,38.57
04-04-14,51.36
03-04-14,33.48
02-04-14,40.30
01-04-14,52.98

