Datum Zeit,Collmberg PM10
,µg/m³
30-04-14,21
29-04-14,20
28-04-14,20
27-04-14,19
26-04-14,27
25-04-14,23
24-04-14,18
23-04-14,19
22-04-14,13
21-04-14,16
20-04-14,25
19-04-14,29
18-04-14,7
17-04-14,9
16-04-14,6
15-04-14,10
14-04-14,14
13-04-14,28
12-04-14,22
11-04-14,10
10-04-14,8
09-04-14,12
08-04-14,17
07-04-14,22
06-04-14,48
05-04-14,40
04-04-14,57
03-04-14,38
02-04-14,48
01-04-14,50

