Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-04-14,16.86
29-04-14,14.81
28-04-14,15.91
27-04-14,15.09
26-04-14,19.01
25-04-14,14.94
24-04-14,18.04
23-04-14,16.45
22-04-14,9.80
21-04-14,13.66
20-04-14,16.80
19-04-14,19.00
18-04-14,8.07
17-04-14,7.88
16-04-14,6.37
15-04-14,4.80
14-04-14,6.65
13-04-14,20.86
12-04-14,23.55
11-04-14,12.46
10-04-14,5.53
09-04-14,9.19
08-04-14,9.63
07-04-14,12.62
06-04-14,40.10
05-04-14,35.68
04-04-14,47.74
03-04-14,27.76
02-04-14,35.33
01-04-14,

