Datum Zeit,Annaberg-Buchholz CO
,mg/m3
01-09-00 00:00,0.3
31-08-00 23:00,0.2
31-08-00 22:00,0.3
31-08-00 21:00,0.3
31-08-00 20:00,0.8
31-08-00 19:00,0.8
31-08-00 18:00,0.5
31-08-00 17:00,0.5
31-08-00 16:00,
31-08-00 15:00,0.5
31-08-00 14:00,0.4
31-08-00 13:00,0.3
31-08-00 12:00,0.2
31-08-00 11:00,0.2
31-08-00 10:00,0.3
31-08-00 09:00,0.5
31-08-00 08:00,0.5
31-08-00 07:00,1.0
31-08-00 06:00,0.9
31-08-00 05:00,1.0
31-08-00 04:00,0.2
31-08-00 03:00,0.1
31-08-00 02:00,0.1
31-08-00 01:00,0.1
31-08-00 00:00,0.2
30-08-00 23:00,0.2
30-08-00 22:00,0.3
30-08-00 21:00,0.6
30-08-00 20:00,0.8
30-08-00 19:00,0.4
30-08-00 18:00,0.3
30-08-00 17:00,0.2
30-08-00 16:00,0.2
30-08-00 15:00,0.2
30-08-00 14:00,0.2
30-08-00 13:00,0.3
30-08-00 12:00,0.4
30-08-00 11:00,0.4
30-08-00 10:00,0.4
30-08-00 09:00,0.3
30-08-00 08:00,0.8
30-08-00 07:00,1.0
30-08-00 06:00,1.1
30-08-00 05:00,0.4
30-08-00 04:00,0.2
30-08-00 03:00,0.1
30-08-00 02:00,0.1
30-08-00 01:00,0.1
30-08-00 00:00,0.1
29-08-00 23:00,0.2
29-08-00 22:00,0.5
29-08-00 21:00,0.5
29-08-00 20:00,0.6
29-08-00 19:00,0.8
29-08-00 18:00,0.3
29-08-00 17:00,0.3
29-08-00 16:00,
29-08-00 15:00,0.2
29-08-00 14:00,0.1
29-08-00 13:00,0.1
29-08-00 12:00,0.1
29-08-00 11:00,0.1
29-08-00 10:00,0.1
29-08-00 09:00,0.3
29-08-00 08:00,0.4
29-08-00 07:00,1.1
29-08-00 06:00,1.5
29-08-00 05:00,0.2
29-08-00 04:00,0.1
29-08-00 03:00,0.1
29-08-00 02:00,0.1
29-08-00 01:00,0.2
29-08-00 00:00,0.2
28-08-00 23:00,0.4
28-08-00 22:00,0.4
28-08-00 21:00,0.4
