Datum Zeit,Bautzen CO
,mg/m3
01-09-00 00:00,0.1
31-08-00 23:00,0.1
31-08-00 22:00,0.1
31-08-00 21:00,0.2
31-08-00 20:00,0.2
31-08-00 19:00,0.2
31-08-00 18:00,0.1
31-08-00 17:00,0.1
31-08-00 16:00,0.1
31-08-00 15:00,0.1
31-08-00 14:00,0.1
31-08-00 13:00,0.1
31-08-00 12:00,0.1
31-08-00 11:00,0.1
31-08-00 10:00,0.1
31-08-00 09:00,0.1
31-08-00 08:00,0.2
31-08-00 07:00,0.3
31-08-00 06:00,0.2
31-08-00 05:00,0.1
31-08-00 04:00,0.1
31-08-00 03:00,0.1
31-08-00 02:00,0.1
31-08-00 01:00,0.1
31-08-00 00:00,0.1
30-08-00 23:00,0.1
30-08-00 22:00,0.1
30-08-00 21:00,0.2
30-08-00 20:00,0.3
30-08-00 19:00,0.2
30-08-00 18:00,0.2
30-08-00 17:00,0.1
30-08-00 16:00,0.1
30-08-00 15:00,0.1
30-08-00 14:00,
30-08-00 13:00,0.1
30-08-00 12:00,0.1
30-08-00 11:00,0.1
30-08-00 10:00,0.1
30-08-00 09:00,0.1
30-08-00 08:00,0.2
30-08-00 07:00,0.4
30-08-00 06:00,0.5
30-08-00 05:00,0.2
30-08-00 04:00,0.1
30-08-00 03:00,0.1
30-08-00 02:00,0.1
30-08-00 01:00,0.1
30-08-00 00:00,0.1
29-08-00 23:00,0.1
29-08-00 22:00,0.1
29-08-00 21:00,0.2
29-08-00 20:00,0.2
29-08-00 19:00,0.1
29-08-00 18:00,0.1
29-08-00 17:00,0.1
29-08-00 16:00,0.1
29-08-00 15:00,0.1
29-08-00 14:00,0.1
29-08-00 13:00,0.2
29-08-00 12:00,0.1
29-08-00 11:00,0.1
29-08-00 10:00,0.1
29-08-00 09:00,0.1
29-08-00 08:00,0.2
29-08-00 07:00,0.5
29-08-00 06:00,0.7
29-08-00 05:00,0.3
29-08-00 04:00,0.2
29-08-00 03:00,0.1
29-08-00 02:00,0.1
29-08-00 01:00,0.1
29-08-00 00:00,0.1
28-08-00 23:00,0.1
28-08-00 22:00,0.1
28-08-00 21:00,0.1
28-08-00 20:00,0.1
28-08-00 19:00,0.1
28-08-00 18:00,0.1
28-08-00 17:00,0.1
28-08-00 16:00,0.1
28-08-00 15:00,0.2
28-08-00 14:00,
28-08-00 13:00,
28-08-00 12:00,0.1
28-08-00 11:00,0.1
28-08-00 10:00,0.1
28-08-00 09:00,0.1
28-08-00 08:00,0.1
28-08-00 07:00,0.1
28-08-00 06:00,0.1
28-08-00 05:00,0.1
28-08-00 04:00,0.1
28-08-00 03:00,0.1
28-08-00 02:00,0.1
28-08-00 01:00,0.1
28-08-00 00:00,0.1
27-08-00 23:00,0.1
27-08-00 22:00,0.1
27-08-00 21:00,0.1
27-08-00 20:00,0.1
27-08-00 19:00,0.1
27-08-00 18:00,0.1
27-08-00 17:00,0.1
27-08-00 16:00,0.1
27-08-00 15:00,0.1
27-08-00 14:00,0.1
27-08-00 13:00,0.1
27-08-00 12:00,0.1
27-08-00 11:00,0.1
27-08-00 10:00,0.1
27-08-00 09:00,0.1
27-08-00 08:00,0.1
27-08-00 07:00,0.1
27-08-00 06:00,0.1
27-08-00 05:00,0.1
27-08-00 04:00,0.1
27-08-00 03:00,0.1
27-08-00 02:00,0.1
27-08-00 01:00,0.1
27-08-00 00:00,0.1
26-08-00 23:00,0.1
26-08-00 22:00,0.1
26-08-00 21:00,0.1
26-08-00 20:00,0.1
26-08-00 19:00,0.1
26-08-00 18:00,0.1
26-08-00 17:00,0.1
26-08-00 16:00,0.1
26-08-00 15:00,
26-08-00 14:00,0.1
26-08-00 13:00,0.1
26-08-00 12:00,0.1
26-08-00 11:00,0.1
26-08-00 10:00,0.1
26-08-00 09:00,0.1
26-08-00 08:00,0.1
26-08-00 07:00,0.1
26-08-00 06:00,0.3
26-08-00 05:00,0.1
26-08-00 04:00,0.1
26-08-00 03:00,0.1
26-08-00 02:00,0.1
26-08-00 01:00,0.1
26-08-00 00:00,0.1
25-08-00 23:00,0.1
25-08-00 22:00,0.1
25-08-00 21:00,0.1
25-08-00 20:00,0.1
25-08-00 19:00,0.1
25-08-00 18:00,0.1
25-08-00 17:00,0.1
25-08-00 16:00,0.1
25-08-00 15:00,0.1
25-08-00 14:00,0.1
25-08-00 13:00,0.1
25-08-00 12:00,0.1
25-08-00 11:00,0.1
25-08-00 10:00,0.1
25-08-00 09:00,0.1
25-08-00 08:00,0.1
25-08-00 07:00,0.1
25-08-00 06:00,0.1
25-08-00 05:00,0.1
25-08-00 04:00,0.1
25-08-00 03:00,0.1
25-08-00 02:00,0.1
25-08-00 01:00,0.1
25-08-00 00:00,0.1
24-08-00 23:00,0.1
24-08-00 22:00,0.1
24-08-00 21:00,0.1
24-08-00 20:00,0.1
24-08-00 19:00,0.1
24-08-00 18:00,0.1
24-08-00 17:00,0.1
24-08-00 16:00,
24-08-00 15:00,0.1
24-08-00 14:00,0.1
24-08-00 13:00,0.1
24-08-00 12:00,0.1
24-08-00 11:00,0.1
24-08-00 10:00,0.1
24-08-00 09:00,0.2
24-08-00 08:00,0.2
24-08-00 07:00,0.4
24-08-00 06:00,0.6
24-08-00 05:00,0.1
24-08-00 04:00,0.1
24-08-00 03:00,0.1
24-08-00 02:00,0.1
24-08-00 01:00,0.1
24-08-00 00:00,0.1
23-08-00 23:00,0.1
23-08-00 22:00,0.2
23-08-00 21:00,0.3
23-08-00 20:00,0.1
23-08-00 19:00,0.1
23-08-00 18:00,0.1
23-08-00 17:00,0.1
23-08-00 16:00,0.1
23-08-00 15:00,0.1
23-08-00 14:00,0.1
23-08-00 13:00,0.1
23-08-00 12:00,0.1
23-08-00 11:00,0.1
23-08-00 10:00,0.1
23-08-00 09:00,0.1
23-08-00 08:00,0.1
23-08-00 07:00,0.3
23-08-00 06:00,0.6
23-08-00 05:00,0.2
23-08-00 04:00,0.1
23-08-00 03:00,0.1
23-08-00 02:00,0.1
23-08-00 01:00,0.1
23-08-00 00:00,0.1
22-08-00 23:00,0.1
22-08-00 22:00,0.1
22-08-00 21:00,0.3
22-08-00 20:00,0.2
22-08-00 19:00,0.1
22-08-00 18:00,0.1
22-08-00 17:00,0.1
22-08-00 16:00,
22-08-00 15:00,
22-08-00 14:00,0.1
22-08-00 13:00,
22-08-00 12:00,
22-08-00 11:00,
22-08-00 10:00,
22-08-00 09:00,
22-08-00 08:00,
22-08-00 07:00,
22-08-00 06:00,
22-08-00 05:00,
22-08-00 04:00,
22-08-00 03:00,
22-08-00 02:00,
22-08-00 01:00,
22-08-00 00:00,
21-08-00 23:00,
21-08-00 22:00,
21-08-00 21:00,
21-08-00 20:00,
21-08-00 19:00,
21-08-00 18:00,
21-08-00 17:00,
21-08-00 16:00,
21-08-00 15:00,
21-08-00 14:00,
21-08-00 13:00,
21-08-00 12:00,
21-08-00 11:00,
21-08-00 10:00,
21-08-00 09:00,
21-08-00 08:00,
21-08-00 07:00,
21-08-00 06:00,
21-08-00 05:00,
21-08-00 04:00,
21-08-00 03:00,
21-08-00 02:00,
21-08-00 01:00,
21-08-00 00:00,
20-08-00 23:00,
20-08-00 22:00,
20-08-00 21:00,
20-08-00 20:00,
20-08-00 19:00,
20-08-00 18:00,
20-08-00 17:00,
20-08-00 16:00,
20-08-00 15:00,
20-08-00 14:00,
20-08-00 13:00,
20-08-00 12:00,
20-08-00 11:00,
20-08-00 10:00,
20-08-00 09:00,
20-08-00 08:00,
20-08-00 07:00,0.1
20-08-00 06:00,0.1
20-08-00 05:00,0.1
20-08-00 04:00,0.1
20-08-00 03:00,0.1
20-08-00 02:00,0.1
20-08-00 01:00,0.2
20-08-00 00:00,0.2
19-08-00 23:00,0.2
19-08-00 22:00,0.4
19-08-00 21:00,0.7
19-08-00 20:00,0.7
19-08-00 19:00,0.4
19-08-00 18:00,0.1
19-08-00 17:00,0.1
19-08-00 16:00,0.1
19-08-00 15:00,0.1
19-08-00 14:00,0.1
19-08-00 13:00,0.1
19-08-00 12:00,0.1
19-08-00 11:00,0.1
19-08-00 10:00,0.1
19-08-00 09:00,0.1
19-08-00 08:00,0.1
19-08-00 07:00,0.1
19-08-00 06:00,0.1
19-08-00 05:00,0.1
19-08-00 04:00,0.1
19-08-00 03:00,0.1
19-08-00 02:00,0.1
19-08-00 01:00,0.1
19-08-00 00:00,0.2
18-08-00 23:00,0.5
18-08-00 22:00,0.4
18-08-00 21:00,0.4
18-08-00 20:00,0.4
