Datum,Zeit,BEN,NO,NO2,O3,PM10,PM2.5,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-02-06,04:00,,67,47,1,,,
2017-02-06,05:00,,37,43,1,,,
2017-02-06,06:00,,74,44,1,,,
2017-02-06,07:00,,135,46,1,,,
2017-02-06,08:00,,158,50,1,,,
2017-02-06,09:00,,166,57,1,,,
2017-02-06,10:00,,146,51,3,,,
2017-02-06,11:00,,122,44,5,,,
2017-02-06,12:00,,138,51,5,,,
2017-02-06,13:00,,122,47,8,,,
2017-02-06,14:00,,115,46,11,,,
2017-02-06,15:00,,122,57,10,,,
2017-02-06,16:00,,144,63,10,,,
2017-02-06,17:00,,251,88,6,,,
2017-02-06,18:00,,148,69,6,,,
2017-02-06,19:00,,97,54,11,,,
2017-02-06,20:00,,71,48,13,,,
2017-02-06,21:00,,46,41,18,,,
2017-02-06,22:00,,32,35,19,,,
2017-02-06,23:00,,16,25,26,,,
2017-02-07,,,,,,59,50.90,
2017-02-07,00:00,,9,20,29,,,
2017-02-07,01:00,,8,16,31,,,
2017-02-07,02:00,,2,11,37,,,
2017-02-07,03:00,,3,12,39,,,
2017-02-07,04:00,,8,16,36,,,
2017-02-07,05:00,,11,15,36,,,
2017-02-07,06:00,,31,24,31,,,
2017-02-07,07:00,,63,39,25,,,
2017-02-07,08:00,,93,48,19,,,
2017-02-07,09:00,,85,46,17,,,
2017-02-07,10:00,,118,53,13,,,
2017-02-07,11:00,,83,41,17,,,
2017-02-07,12:00,,86,42,19,,,
2017-02-07,13:00,,95,46,20,,,
2017-02-07,14:00,,94,44,23,,,
2017-02-07,15:00,,100,51,20,,,
2017-02-07,16:00,,118,59,21,,,
2017-02-07,17:00,,116,59,16,,,
2017-02-07,18:00,,97,54,14,,,
2017-02-07,19:00,,66,45,20,,,
2017-02-07,20:00,,27,31,28,,,
2017-02-07,21:00,,28,27,31,,,
2017-02-07,22:00,,17,24,30,,,
2017-02-07,23:00,,10,20,30,,,
2017-02-08,,,,,,60,44.00,
2017-02-08,00:00,,5,18,31,,,
2017-02-08,01:00,,3,14,35,,,
2017-02-08,02:00,,1,12,39,,,
2017-02-08,03:00,,2,12,43,,,
2017-02-08,04:00,,1,12,45,,,
2017-02-08,05:00,,5,13,46,,,
2017-02-08,06:00,,17,18,44,,,
2017-02-08,07:00,,46,33,37,,,
2017-02-08,08:00,,79,47,25,,,
2017-02-08,09:00,,102,50,24,,,
2017-02-08,10:00,,74,43,24,,,
2017-02-08,11:00,,68,39,29,,,
2017-02-08,12:00,,69,41,32,,,
2017-02-08,13:00,,77,46,31,,,
2017-02-08,14:00,,121,53,27,,,
2017-02-08,15:00,,112,62,27,,,
2017-02-08,16:00,,127,65,25,,,
2017-02-08,17:00,,123,67,23,,,
2017-02-08,18:00,,94,55,27,,,
2017-02-08,19:00,,95,59,23,,,
2017-02-08,20:00,,40,40,29,,,
2017-02-08,21:00,,34,38,33,,,
2017-02-08,22:00,,24,30,35,,,
2017-02-08,23:00,,15,27,34,,,
2017-02-09,,,,,,60,47.22,
2017-02-09,00:00,,9,22,36,,,
2017-02-09,01:00,,4,19,39,,,
2017-02-09,02:00,,3,17,40,,,
2017-02-09,03:00,,4,16,41,,,
2017-02-09,04:00,,1,15,43,,,
2017-02-09,05:00,,5,21,37,,,
2017-02-09,06:00,,16,24,34,,,
2017-02-09,07:00,,48,36,34,,,
2017-02-09,08:00,,118,55,24,,,
2017-02-09,09:00,,90,60,22,,,
2017-02-09,10:00,,76,50,28,,,
2017-02-09,11:00,,56,42,34,,,
2017-02-09,12:00,,63,42,37,,,
2017-02-09,13:00,,64,42,38,,,
2017-02-09,14:00,,71,47,35,,,
2017-02-09,15:00,,74,53,35,,,
2017-02-09,16:00,,156,76,24,,,
2017-02-09,17:00,,127,71,23,,,
2017-02-09,18:00,,67,54,30,,,
2017-02-09,19:00,,40,45,30,,,
2017-02-09,20:00,,18,37,32,,,
2017-02-09,21:00,,18,35,33,,,
2017-02-09,22:00,,9,30,34,,,
2017-02-09,23:00,,9,29,33,,,
2017-02-10,,,,,,83,58.28,
2017-02-10,00:00,,10,27,34,,,
2017-02-10,01:00,,7,24,36,,,
2017-02-10,02:00,,1,21,36,,,
2017-02-10,03:00,,2,25,30,,,
2017-02-10,04:00,,2,21,35,,,
2017-02-10,05:00,,24,36,25,,,
2017-02-10,06:00,,84,58,3,,,
2017-02-10,07:00,,215,82,3,,,
