Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-12-12,15.08
30-12-12,12.50
29-12-12,15.72
28-12-12,9.42
27-12-12,3.74
26-12-12,2.43
25-12-12,8.56
24-12-12,9.61
23-12-12,17.20
22-12-12,43.59
21-12-12,36.11
20-12-12,21.40
19-12-12,15.00
18-12-12,24.35
17-12-12,25.30
16-12-12,29.98
15-12-12,37.60
14-12-12,40.84
13-12-12,40.06
12-12-12,25.54
11-12-12,29.66
10-12-12,
09-12-12,
08-12-12,27.94
07-12-12,18.83
06-12-12,11.04
05-12-12,9.66
04-12-12,10.02
03-12-12,20.77
02-12-12,28.24
01-12-12,16.27

