Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-12-12,15.56
30-12-12,12.39
29-12-12,14.50
28-12-12,8.73
27-12-12,5.66
26-12-12,3.15
25-12-12,8.69
24-12-12,9.28
23-12-12,16.29
22-12-12,41.10
21-12-12,34.48
20-12-12,21.41
19-12-12,17.96
18-12-12,23.68
17-12-12,
16-12-12,
15-12-12,
14-12-12,37.43
13-12-12,38.76
12-12-12,24.31
11-12-12,29.26
10-12-12,22.73
09-12-12,26.29
08-12-12,28.80
07-12-12,17.77
06-12-12,
05-12-12,10.76
04-12-12,12.42
03-12-12,22.27
02-12-12,27.55
01-12-12,15.51

