Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-12-12,4.85
30-12-12,4.57
29-12-12,9.70
28-12-12,10.16
27-12-12,5.18
26-12-12,2.74
25-12-12,4.63
24-12-12,12.55
23-12-12,9.40
22-12-12,23.65
21-12-12,30.49
20-12-12,22.64
19-12-12,19.65
18-12-12,12.45
17-12-12,14.58
16-12-12,6.93
15-12-12,21.35
14-12-12,31.07
13-12-12,21.04
12-12-12,16.65
11-12-12,19.72
10-12-12,4.24
09-12-12,16.39
08-12-12,54.23
07-12-12,
06-12-12,6.25
05-12-12,10.22
04-12-12,8.74
03-12-12,12.91
02-12-12,15.29
01-12-12,29.80

