Datum Zeit,Zwickau-Werdauer Straße PM10
,µg/m³
31-12-12,10
30-12-12,7
29-12-12,11
28-12-12,12
27-12-12,7
26-12-12,4
25-12-12,7
24-12-12,10
23-12-12,6
22-12-12,29
21-12-12,49
20-12-12,27
19-12-12,29
18-12-12,17
17-12-12,9
16-12-12,6
15-12-12,17
14-12-12,23
13-12-12,25
12-12-12,19
11-12-12,29
10-12-12,8
09-12-12,23
08-12-12,34
07-12-12,23
06-12-12,13
05-12-12,16
04-12-12,8
03-12-12,18
02-12-12,16
01-12-12,16

