Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-12-12,16.02
30-12-12,12.11
29-12-12,14.57
28-12-12,10.94
27-12-12,6.07
26-12-12,3.35
25-12-12,7.85
24-12-12,9.96
23-12-12,16.96
22-12-12,36.73
21-12-12,34.38
20-12-12,21.60
19-12-12,22.61
18-12-12,28.54
17-12-12,27.07
16-12-12,29.47
15-12-12,37.67
14-12-12,38.75
13-12-12,39.20
12-12-12,29.31
11-12-12,29.23
10-12-12,21.78
09-12-12,28.05
08-12-12,34.80
07-12-12,21.46
06-12-12,15.11
05-12-12,13.91
04-12-12,13.49
03-12-12,22.82
02-12-12,29.81
01-12-12,20.37

