Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-12-12,12.37
30-12-12,5.90
29-12-12,8.67
28-12-12,9.00
27-12-12,7.47
26-12-12,3.01
25-12-12,6.11
24-12-12,7.18
23-12-12,11.57
22-12-12,52.90
21-12-12,47.82
20-12-12,26.88
19-12-12,33.06
18-12-12,21.20
17-12-12,10.39
16-12-12,8.70
15-12-12,22.07
14-12-12,28.00
13-12-12,24.46
12-12-12,23.60
11-12-12,27.53
10-12-12,15.11
09-12-12,27.06
08-12-12,41.31
07-12-12,20.79
06-12-12,20.01
05-12-12,12.91
04-12-12,12.13
03-12-12,22.00
02-12-12,21.97
01-12-12,15.49

