Datum Zeit,Dresden-Bergstraße PM10
,µg/m³
31-12-12,27
30-12-12,18
29-12-12,22
28-12-12,21
27-12-12,12
26-12-12,8
25-12-12,13
24-12-12,13
23-12-12,22
22-12-12,46
21-12-12,44
20-12-12,30
19-12-12,31
18-12-12,37
17-12-12,35
16-12-12,43
15-12-12,47
14-12-12,45
13-12-12,50
12-12-12,41
11-12-12,37
10-12-12,29
09-12-12,33
08-12-12,44
07-12-12,28
06-12-12,24
05-12-12,27
04-12-12,20
03-12-12,31
02-12-12,40
01-12-12,29

