Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-12-12,6.76
30-12-12,4.43
29-12-12,8.41
28-12-12,9.86
27-12-12,5.67
26-12-12,2.31
25-12-12,4.51
24-12-12,8.17
23-12-12,6.87
22-12-12,24.71
21-12-12,40.04
20-12-12,31.18
19-12-12,29.23
18-12-12,17.76
17-12-12,12.91
16-12-12,7.33
15-12-12,18.25
14-12-12,30.65
13-12-12,24.30
12-12-12,19.44
11-12-12,28.78
10-12-12,9.73
09-12-12,18.80
08-12-12,36.75
07-12-12,19.58
06-12-12,12.97
05-12-12,14.56
04-12-12,10.43
03-12-12,18.44
02-12-12,13.64
01-12-12,15.28

