Datum Zeit,Collmberg PM2.5
,µg/m³
31-12-12,3.25
30-12-12,3.88
29-12-12,5.38
28-12-12,4.23
27-12-12,2.53
26-12-12,1.55
25-12-12,4.17
24-12-12,3.43
23-12-12,4.45
22-12-12,30.98
21-12-12,41.57
20-12-12,16.92
19-12-12,4.03
18-12-12,3.82
17-12-12,4.24
16-12-12,3.67
15-12-12,12.51
14-12-12,29.96
13-12-12,21.69
12-12-12,14.30
11-12-12,21.48
10-12-12,10.55
09-12-12,16.90
08-12-12,28.59
07-12-12,13.74
06-12-12,6.83
05-12-12,5.28
04-12-12,
03-12-12,
02-12-12,11.96
01-12-12,9.41

