Datum Zeit,Collmberg PM2.5
,µg/m³
31-08-14,4.13
30-08-14,6.16
29-08-14,6.42
28-08-14,5.56
27-08-14,4.47
26-08-14,5.50
25-08-14,6.08
24-08-14,5.05
23-08-14,4.76
22-08-14,5.77
21-08-14,5.78
20-08-14,4.49
19-08-14,2.61
18-08-14,3.43
17-08-14,4.60
16-08-14,3.45
15-08-14,3.23
14-08-14,4.31
13-08-14,4.77
12-08-14,4.17
11-08-14,4.09
10-08-14,6.29
09-08-14,7.05
08-08-14,8.49
07-08-14,8.78
06-08-14,6.41
05-08-14,5.95
04-08-14,5.26
03-08-14,6.32
02-08-14,12.06
01-08-14,8.07

