Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-08-14,8.24
30-08-14,8.77
29-08-14,11.42
28-08-14,9.89
27-08-14,9.43
26-08-14,9.15
25-08-14,9.86
24-08-14,7.04
23-08-14,7.77
22-08-14,8.86
21-08-14,10.40
20-08-14,7.66
19-08-14,6.11
18-08-14,5.54
17-08-14,6.44
16-08-14,6.95
15-08-14,6.39
14-08-14,6.91
13-08-14,7.23
12-08-14,8.00
11-08-14,6.27
10-08-14,7.93
09-08-14,10.39
08-08-14,12.20
07-08-14,12.77
06-08-14,10.81
05-08-14,12.68
04-08-14,9.36
03-08-14,10.26
02-08-14,13.51
01-08-14,11.83

