Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-08-14,4.71
30-08-14,9.03
29-08-14,8.81
28-08-14,7.43
27-08-14,9.72
26-08-14,7.07
25-08-14,6.33
24-08-14,5.09
23-08-14,5.48
22-08-14,6.87
21-08-14,6.18
20-08-14,6.12
19-08-14,4.22
18-08-14,3.79
17-08-14,4.90
16-08-14,4.36
15-08-14,3.32
14-08-14,4.89
13-08-14,9.43
12-08-14,5.02
11-08-14,5.55
10-08-14,6.47
09-08-14,9.34
08-08-14,12.53
07-08-14,9.95
06-08-14,10.73
05-08-14,7.16
04-08-14,7.26
03-08-14,5.73
02-08-14,13.84
01-08-14,11.23

