Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-08-14,8.69
30-08-14,11.80
29-08-14,12.61
28-08-14,10.88
27-08-14,12.30
26-08-14,9.79
25-08-14,8.95
24-08-14,7.75
23-08-14,8.32
22-08-14,10.58
21-08-14,9.64
20-08-14,7.65
19-08-14,6.44
18-08-14,6.09
17-08-14,6.02
16-08-14,6.33
15-08-14,5.97
14-08-14,6.77
13-08-14,8.59
12-08-14,7.16
11-08-14,6.87
10-08-14,6.81
09-08-14,8.98
08-08-14,12.56
07-08-14,12.25
06-08-14,10.71
05-08-14,11.95
04-08-14,9.13
03-08-14,8.48
02-08-14,14.87
01-08-14,12.49

