Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-08-14,6.01
30-08-14,6.59
29-08-14,9.00
28-08-14,7.18
27-08-14,6.57
26-08-14,6.23
25-08-14,6.86
24-08-14,5.61
23-08-14,5.25
22-08-14,6.69
21-08-14,7.35
20-08-14,5.13
19-08-14,3.72
18-08-14,3.64
17-08-14,5.09
16-08-14,4.83
15-08-14,4.00
14-08-14,4.88
13-08-14,5.21
12-08-14,4.88
11-08-14,3.90
10-08-14,6.46
09-08-14,8.44
08-08-14,9.51
07-08-14,9.32
06-08-14,7.81
05-08-14,8.71
04-08-14,5.88
03-08-14,8.29
02-08-14,11.34
01-08-14,11.36

