Datum Zeit,Dresden-Winckelmannstr. PM10
,µg/m³
31-10-08,22
30-10-08,10
29-10-08,14
28-10-08,23
27-10-08,25
26-10-08,37
25-10-08,42
24-10-08,35
23-10-08,23
22-10-08,11
21-10-08,33
20-10-08,31
19-10-08,23
18-10-08,23
17-10-08,19
16-10-08,13
15-10-08,32
14-10-08,41
13-10-08,38
12-10-08,31
11-10-08,36
10-10-08,28
09-10-08,32
08-10-08,28
07-10-08,20
06-10-08,9
05-10-08,11
04-10-08,15
03-10-08,15
02-10-08,12
01-10-08,11

