Datum Zeit,Zwickau-Werdauer Straße PM10
,µg/m³
31-10-08,20
30-10-08,9
29-10-08,12
28-10-08,27
27-10-08,15
26-10-08,21
25-10-08,40
24-10-08,35
23-10-08,28
22-10-08,8
21-10-08,25
20-10-08,26
19-10-08,21
18-10-08,24
17-10-08,17
16-10-08,9
15-10-08,
14-10-08,40
13-10-08,27
12-10-08,25
11-10-08,27
10-10-08,34
09-10-08,34
08-10-08,26
07-10-08,20
06-10-08,8
05-10-08,8
04-10-08,11
03-10-08,10
02-10-08,11
01-10-08,6

