Datum,Zeit,BEN,NO,NO2,O3,PM10,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-05-01,01:00,,1,18,,,
2017-05-01,02:00,,1,16,,,
2017-05-01,03:00,,1,13,,,
2017-05-01,04:00,,1,12,,,
2017-05-01,05:00,,1,7,,,
2017-05-01,06:00,,1,11,,,
2017-05-01,07:00,,2,10,,,
2017-05-01,08:00,,3,12,,,
2017-05-01,09:00,,3,11,,,
2017-05-01,10:00,,4,11,,,
2017-05-01,11:00,,4,9,,,
2017-05-01,12:00,,3,7,,,
2017-05-01,13:00,,4,8,,,
2017-05-01,14:00,,8,14,,,
2017-05-01,15:00,,4,10,,,
2017-05-01,16:00,,5,14,,,
2017-05-01,17:00,,5,15,,,
2017-05-01,18:00,,5,14,,,
2017-05-01,19:00,,2,11,,,
2017-05-01,20:00,,1,15,,,
2017-05-01,21:00,,1,13,,,
2017-05-01,22:00,,1,7,,,
2017-05-01,23:00,,1,6,,,
2017-05-02,00:00,,1,7,,,
2017-05-02,01:00,,1,9,,,
2017-05-02,02:00,,1,7,,,
2017-05-02,03:00,,1,7,,,
2017-05-02,04:00,,1,11,,,
2017-05-02,05:00,,5,13,,,
2017-05-02,06:00,,13,19,,,
2017-05-02,07:00,,17,24,,,
2017-05-02,08:00,,31,33,,,
2017-05-02,09:00,,27,29,,,
2017-05-02,10:00,,32,32,,,
2017-05-02,11:00,,31,24,,,
2017-05-02,12:00,,23,21,,,
2017-05-02,13:00,,22,22,,,
2017-05-02,14:00,,25,23,,,
2017-05-02,15:00,,28,28,,,
2017-05-02,16:00,,37,30,,,
2017-05-02,17:00,,20,24,,,
2017-05-02,18:00,,18,23,,,
2017-05-02,19:00,,6,14,,,
2017-05-02,20:00,,4,15,,,
2017-05-02,21:00,,5,16,,,
2017-05-02,22:00,,4,19,,,
2017-05-02,23:00,,3,20,,,
2017-05-03,00:00,,2,13,,,
2017-05-03,01:00,,1,14,,,
2017-05-03,02:00,,3,17,,,
2017-05-03,03:00,,5,15,,,
2017-05-03,04:00,,7,19,,,
2017-05-03,05:00,,21,25,,,
2017-05-03,06:00,,90,35,,,
2017-05-03,07:00,,55,35,,,
2017-05-03,08:00,,34,32,,,
2017-05-03,09:00,,30,26,,,
2017-05-03,10:00,,17,20,,,
2017-05-03,11:00,,14,17,,,
2017-05-03,12:00,,17,17,,,
2017-05-03,13:00,,11,12,,,
2017-05-03,14:00,,10,12,,,
2017-05-03,15:00,,9,13,,,
2017-05-03,16:00,,10,15,,,
2017-05-03,17:00,,15,19,,,
2017-05-03,18:00,,5,12,,,
2017-05-03,19:00,,2,11,,,
2017-05-03,20:00,,1,9,,,
2017-05-03,21:00,,1,9,,,
2017-05-03,22:00,,1,7,,,
2017-05-03,23:00,,1,7,,,
2017-05-04,00:00,,1,6,,,
2017-05-04,01:00,,1,6,,,
2017-05-04,02:00,,1,5,,,
2017-05-04,03:00,,1,6,,,
2017-05-04,04:00,,1,6,,,
2017-05-04,05:00,,2,10,,,
2017-05-04,06:00,,19,19,,,
2017-05-04,07:00,,27,20,,,
2017-05-04,08:00,,14,15,,,
2017-05-04,09:00,,23,21,,,
2017-05-04,10:00,,13,13,,,
2017-05-04,11:00,,6,10,,,
2017-05-04,12:00,,4,8,,,
2017-05-04,13:00,,4,8,,,
2017-05-04,14:00,,5,10,,,
