Datum Zeit,Schwartenberg PM2.5
,µg/m³
30-04-03,9.44
29-04-03,
28-04-03,4.44
27-04-03,
26-04-03,22.46
25-04-03,
24-04-03,23.13
23-04-03,
22-04-03,22.38
21-04-03,
20-04-03,23.97
19-04-03,
18-04-03,11.19
17-04-03,
16-04-03,18.90
15-04-03,
14-04-03,19.44
13-04-03,
12-04-03,41.43
11-04-03,
10-04-03,26.28
09-04-03,
08-04-03,5.74
07-04-03,
06-04-03,2.13
05-04-03,
04-04-03,6.21
03-04-03,
02-04-03,6.31
01-04-03,

