Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-03-04,23.33
30-03-04,24.38
29-03-04,33.10
28-03-04,26.25
27-03-04,20.21
26-03-04,13.97
25-03-04,9.40
24-03-04,13.50
23-03-04,
22-03-04,11.81
21-03-04,7.86
20-03-04,8.08
19-03-04,31.74
18-03-04,36.72
17-03-04,24.12
16-03-04,24.63
15-03-04,19.58
14-03-04,28.46
13-03-04,37.31
12-03-04,29.22
11-03-04,34.99
10-03-04,31.01
09-03-04,49.42
08-03-04,48.17
07-03-04,38.99
06-03-04,29.81
05-03-04,14.63
04-03-04,16.11
03-03-04,26.39
02-03-04,21.17
01-03-04,18.43

