Datum Zeit,Radebeul-Wahnsdorf PM10
,µg/m³
31-03-04,25
30-03-04,23
29-03-04,29
28-03-04,27
27-03-04,18
26-03-04,11
25-03-04,9
24-03-04,16
23-03-04,12
22-03-04,8
21-03-04,7
20-03-04,6
19-03-04,38
18-03-04,39
17-03-04,19
16-03-04,17
15-03-04,11
14-03-04,29
13-03-04,
12-03-04,30
11-03-04,33
10-03-04,16
09-03-04,48
08-03-04,49
07-03-04,35
06-03-04,30
05-03-04,13
04-03-04,12
03-03-04,
02-03-04,19
01-03-04,15

