Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
31-10-13,15.82
30-10-13,11.38
29-10-13,7.50
28-10-13,6.31
27-10-13,3.95
26-10-13,7.62
25-10-13,11.07
24-10-13,10.91
23-10-13,10.13
22-10-13,12.78
21-10-13,9.15
20-10-13,6.75
19-10-13,11.00
18-10-13,4.94
17-10-13,5.98
16-10-13,12.83
15-10-13,11.02
14-10-13,13.27
13-10-13,11.02
12-10-13,11.19
11-10-13,5.59
10-10-13,8.12
09-10-13,23.59
08-10-13,37.57
07-10-13,22.23
06-10-13,23.97
05-10-13,20.21
04-10-13,15.14
03-10-13,12.81
02-10-13,12.20
01-10-13,12.06

