Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-10-13,12.03
30-10-13,6.40
29-10-13,4.31
28-10-13,3.15
27-10-13,4.33
26-10-13,8.26
25-10-13,9.60
24-10-13,6.80
23-10-13,7.78
22-10-13,7.73
21-10-13,5.40
20-10-13,7.32
19-10-13,8.25
18-10-13,4.76
17-10-13,6.61
16-10-13,14.31
15-10-13,7.80
14-10-13,7.86
13-10-13,10.78
12-10-13,10.32
11-10-13,6.72
10-10-13,5.58
09-10-13,23.51
08-10-13,16.59
07-10-13,11.84
06-10-13,16.27
05-10-13,13.44
04-10-13,12.15
03-10-13,11.65
02-10-13,9.94
01-10-13,11.45

