Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-10-13,14.58
30-10-13,7.62
29-10-13,4.00
28-10-13,4.10
27-10-13,6.03
26-10-13,9.12
25-10-13,10.48
24-10-13,7.10
23-10-13,14.54
22-10-13,10.88
21-10-13,8.49
20-10-13,19.74
19-10-13,10.68
18-10-13,6.27
17-10-13,7.29
16-10-13,18.30
15-10-13,15.59
14-10-13,13.18
13-10-13,11.38
12-10-13,9.86
11-10-13,5.91
10-10-13,14.18
09-10-13,23.72
08-10-13,27.34
07-10-13,22.09
06-10-13,29.75
05-10-13,15.91
04-10-13,10.15
03-10-13,13.52
02-10-13,13.15
01-10-13,13.18

