Datum Zeit,Dresden-Nord PM2.5
,µg/m³
31-10-13,15.37
30-10-13,11.12
29-10-13,7.04
28-10-13,5.79
27-10-13,7.93
26-10-13,11.15
25-10-13,12.14
24-10-13,12.11
23-10-13,14.93
22-10-13,12.12
21-10-13,13.05
20-10-13,19.88
19-10-13,10.84
18-10-13,7.33
17-10-13,9.72
16-10-13,19.74
15-10-13,18.75
14-10-13,13.55
13-10-13,13.23
12-10-13,10.66
11-10-13,7.88
10-10-13,15.12
09-10-13,25.63
08-10-13,26.79
07-10-13,24.43
06-10-13,30.90
05-10-13,15.72
04-10-13,10.30
03-10-13,12.91
02-10-13,13.18
01-10-13,14.11

