Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-10-13,14.16
30-10-13,10.80
29-10-13,7.69
28-10-13,5.20
27-10-13,4.87
26-10-13,9.20
25-10-13,12.74
24-10-13,9.82
23-10-13,10.23
22-10-13,13.57
21-10-13,10.29
20-10-13,8.68
19-10-13,11.63
18-10-13,7.76
17-10-13,10.16
16-10-13,22.05
15-10-13,16.02
14-10-13,17.86
13-10-13,11.23
12-10-13,13.91
11-10-13,7.90
10-10-13,10.89
09-10-13,29.96
08-10-13,33.96
07-10-13,22.12
06-10-13,25.04
05-10-13,16.49
04-10-13,12.38
03-10-13,12.45
02-10-13,11.39
01-10-13,12.67

