Datum Zeit,Collmberg PM2.5
,µg/m³
31-10-13,8.82
30-10-13,5.84
29-10-13,3.55
28-10-13,3.50
27-10-13,4.00
26-10-13,7.08
25-10-13,8.80
24-10-13,5.68
23-10-13,6.97
22-10-13,6.40
21-10-13,5.05
20-10-13,6.56
19-10-13,8.12
18-10-13,2.81
17-10-13,5.79
16-10-13,13.37
15-10-13,7.53
14-10-13,7.69
13-10-13,8.38
12-10-13,6.45
11-10-13,2.52
10-10-13,5.16
09-10-13,22.09
08-10-13,19.37
07-10-13,8.71
06-10-13,16.36
05-10-13,12.79
04-10-13,10.56
03-10-13,11.98
02-10-13,10.09
01-10-13,10.98

