Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-10-13,15.46
30-10-13,10.90
29-10-13,9.03
28-10-13,11.18
27-10-13,7.51
26-10-13,11.73
25-10-13,12.15
24-10-13,10.69
23-10-13,16.09
22-10-13,12.12
21-10-13,11.73
20-10-13,22.45
19-10-13,11.32
18-10-13,8.13
17-10-13,10.75
16-10-13,20.65
15-10-13,20.03
14-10-13,15.30
13-10-13,13.42
12-10-13,12.31
11-10-13,11.13
10-10-13,16.51
09-10-13,26.80
08-10-13,30.31
07-10-13,27.11
06-10-13,31.70
05-10-13,16.85
04-10-13,10.78
03-10-13,13.68
02-10-13,17.07
01-10-13,

