Datum Zeit,Klingenthal PM10
,µg/m³
31-10-13,20
30-10-13,17
29-10-13,9
28-10-13,5
27-10-13,10
26-10-13,19
25-10-13,15
24-10-13,14
23-10-13,15
22-10-13,14
21-10-13,13
20-10-13,22
19-10-13,11
18-10-13,8
17-10-13,9
16-10-13,11
15-10-13,12
14-10-13,14
13-10-13,10
12-10-13,8
11-10-13,5
10-10-13,10
09-10-13,22
08-10-13,28
07-10-13,15
06-10-13,17
05-10-13,16
04-10-13,15
03-10-13,17
02-10-13,14
01-10-13,19

