Datum Zeit,Goerlitz PM10
,µg/m³
28-02-15,35
27-02-15,63
26-02-15,55
25-02-15,33
24-02-15,30
23-02-15,42
22-02-15,26
21-02-15,50
20-02-15,57
19-02-15,65
18-02-15,57
17-02-15,130
16-02-15,83
15-02-15,70
14-02-15,56
13-02-15,33
12-02-15,30
11-02-15,27
10-02-15,11
09-02-15,8
08-02-15,15
07-02-15,37
06-02-15,44
05-02-15,31
04-02-15,14
03-02-15,20
02-02-15,29
01-02-15,24

