Datum Zeit,Leipzig-Mitte PM10
,µg/m³
31-01-08,56
30-01-08,68
29-01-08,80
28-01-08,41
27-01-08,12
26-01-08,37
25-01-08,72
24-01-08,66
23-01-08,70
22-01-08,25
21-01-08,81
20-01-08,8
19-01-08,12
18-01-08,71
17-01-08,60
16-01-08,47
15-01-08,42
14-01-08,51
13-01-08,32
12-01-08,34
11-01-08,44
10-01-08,33
09-01-08,45
08-01-08,58
07-01-08,31
06-01-08,27
05-01-08,48
04-01-08,63
03-01-08,42
02-01-08,36
01-01-08,55

